dataset,marker,colonna_usata,presente,missing,numerici_veri,numeric_formato_stringa,intervalli_stringa,qualitativi_stringa,top_valori
ambl_lesions_radiomic,ER,ER [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; strong=23; neg=15; nan=8; Moderate to strong=6; 3=5; 0=3; weak=3; pos=3; moderate=3; 2.5=2; 2.9=1; 2=1; 2.2=1; moderate =1
ambl_lesions_radiomic,PR,PR [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; neg=22; strong=19; nan=8; 0=5; moderate=5; pos=3; weak to moderate=3; 2.8=2; 0.04=2; 0.2=1; 0.1=1; 1.4=1; 3=1; intermediate=1
ambl_lesions_radiomic,HER2,HER2 [SII],True,8.0,0.0,104.0,0.0,52.0,-1=91; neg=38; 0=11; pos=8; nan=8; strong=5; 1=1; 3=1; weak=1
ambl_lesions_radiomic,KI67,,False,,,,,,
ambl_lesions_radiomic,isTN,,False,,,,,,
duke_lesions_radiomic,ER,ER,True,0.0,291.0,0.0,0.0,0.0,1=168; 0=123
duke_lesions_radiomic,PR,PR,True,0.0,291.0,0.0,0.0,0.0,0=157; 1=134
duke_lesions_radiomic,HER2,HER2,True,0.0,291.0,0.0,0.0,0.0,0=208; 1=83
duke_lesions_radiomic,KI67,,False,,,,,,
duke_lesions_radiomic,isTN,,False,,,,,,
ambl_lesions,ER,ER [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; strong=23; neg=15; nan=8; Moderate to strong=6; 3=5; 0=3; weak=3; pos=3; moderate=3; 2.5=2; 2.9=1; 2=1; 2.2=1; moderate =1
ambl_lesions,PR,PR [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; neg=22; strong=19; nan=8; 0=5; moderate=5; pos=3; weak to moderate=3; 2.8=2; 0.04=2; 0.2=1; 0.1=1; 1.4=1; 3=1; intermediate=1
ambl_lesions,HER2,HER2 [SII],True,8.0,0.0,104.0,0.0,52.0,-1=91; neg=38; 0=11; pos=8; nan=8; strong=5; 1=1; 3=1; weak=1
ambl_lesions,KI67,,False,,,,,,
ambl_lesions,isTN,,False,,,,,,
duke_lesions,ER,ER,True,0.0,291.0,0.0,0.0,0.0,1=168; 0=123
duke_lesions,PR,PR,True,0.0,291.0,0.0,0.0,0.0,0=157; 1=134
duke_lesions,HER2,HER2,True,0.0,291.0,0.0,0.0,0.0,0=208; 1=83
duke_lesions,KI67,,False,,,,,,
duke_lesions,isTN,,False,,,,,,
t2_medsam,ER,ER [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; strong=23; neg=15; nan=8; Moderate to strong=6; 3=5; 0=3; weak=3; pos=3; moderate=3; 2.5=2; 2.9=1; 2=1; 2.2=1; moderate =1
t2_medsam,PR,PR [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; neg=22; strong=19; nan=8; 0=5; moderate=5; pos=3; weak to moderate=3; 2.8=2; 0.04=2; 0.2=1; 0.1=1; 1.4=1; 3=1; intermediate=1
t2_medsam,HER2,HER2 [SII],True,8.0,0.0,104.0,0.0,52.0,-1=91; neg=38; 0=11; pos=8; nan=8; strong=5; 1=1; 3=1; weak=1
t2_medsam,KI67,KI67 [%],True,8.0,0.0,128.0,17.0,11.0,-1=95; nan=8; 10=6; 20=4; 60=4; 30 to 40=4; 30=3; 5=3; 15=3; 40=3; high=2; 5 to 10=2; 3 to 5=2; 70=2; 10 to 20=2
t2_medsam,isTN,isTN,True,154.0,10.0,0.0,0.0,0.0,nan=154; 1.0=10
t2_preprocessed,ER,ER [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; strong=23; neg=15; nan=8; Moderate to strong=6; 3=5; 0=3; weak=3; pos=3; moderate=3; 2.5=2; 2.9=1; 2=1; 2.2=1; moderate =1
t2_preprocessed,PR,PR [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; neg=22; strong=19; nan=8; 0=5; moderate=5; pos=3; weak to moderate=3; 2.8=2; 0.04=2; 0.2=1; 0.1=1; 1.4=1; 3=1; intermediate=1
t2_preprocessed,HER2,HER2 [SII],True,8.0,0.0,104.0,0.0,52.0,-1=91; neg=38; 0=11; pos=8; nan=8; strong=5; 1=1; 3=1; weak=1
t2_preprocessed,KI67,KI67 [%],True,8.0,0.0,128.0,17.0,11.0,-1=95; nan=8; 10=6; 20=4; 60=4; 30 to 40=4; 30=3; 5=3; 15=3; 40=3; high=2; 5 to 10=2; 3 to 5=2; 70=2; 10 to 20=2
t2_preprocessed,isTN,isTN,True,154.0,10.0,0.0,0.0,0.0,nan=154; 1.0=10
t2_original,ER,ER [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; strong=23; neg=15; nan=8; Moderate to strong=6; 3=5; 0=3; weak=3; pos=3; moderate=3; 2.5=2; 2.9=1; 2=1; 2.2=1; moderate =1
t2_original,PR,PR [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; neg=22; strong=19; nan=8; 0=5; moderate=5; pos=3; weak to moderate=3; 2.8=2; 0.04=2; 0.2=1; 0.1=1; 1.4=1; 3=1; intermediate=1
t2_original,HER2,HER2 [SII],True,8.0,0.0,104.0,0.0,52.0,-1=91; neg=38; 0=11; pos=8; nan=8; strong=5; 1=1; 3=1; weak=1
t2_original,KI67,KI67 [%],True,8.0,0.0,128.0,17.0,11.0,-1=95; nan=8; 10=6; 20=4; 60=4; 30 to 40=4; 30=3; 5=3; 15=3; 40=3; high=2; 5 to 10=2; 3 to 5=2; 70=2; 10 to 20=2
t2_original,isTN,isTN,True,154.0,10.0,0.0,0.0,0.0,nan=154; 1.0=10
medsam_dynamic,ER,ER [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; strong=23; neg=15; nan=8; Moderate to strong=6; 3=5; 0=3; weak=3; pos=3; moderate=3; 2.5=2; 2.9=1; 2=1; 2.2=1; moderate =1
medsam_dynamic,PR,PR [SII],True,8.0,0.0,101.0,0.0,55.0,-1=88; neg=22; strong=19; nan=8; 0=5; moderate=5; pos=3; weak to moderate=3; 2.8=2; 0.04=2; 0.2=1; 0.1=1; 1.4=1; 3=1; intermediate=1
