Feature,Importance
original_shape_Maximum3DDiameter,0.06478933
original_ngtdm_Busyness,0.055472657
original_glrlm_RunEntropy,0.046570223
original_gldm_LargeDependenceEmphasis,0.03727294
original_shape_Sphericity,0.031824593
original_glszm_GrayLevelVariance,0.028422548
original_glcm_MCC,0.027462412
original_glszm_LowGrayLevelZoneEmphasis,0.027254065
original_glszm_SmallAreaLowGrayLevelEmphasis,0.026384303
original_shape_Flatness,0.02611614
original_glszm_HighGrayLevelZoneEmphasis,0.024119066
original_glszm_SizeZoneNonUniformityNormalized,0.02130153
original_glrlm_LongRunLowGrayLevelEmphasis,0.020918233
original_firstorder_Maximum,0.020836776
original_shape_Maximum2DDiameterSlice,0.020672789
original_glszm_LargeAreaHighGrayLevelEmphasis,0.019419685
original_glcm_MaximumProbability,0.018977534
original_shape_LeastAxisLength,0.018844364
original_firstorder_10Percentile,0.018314082
original_glszm_SizeZoneNonUniformity,0.017894382
original_ngtdm_Complexity,0.017172074
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.017108042
original_glcm_Imc1,0.016435586
original_firstorder_RootMeanSquared,0.015858129
original_shape_MinorAxisLength,0.015758054
original_gldm_DependenceVariance,0.015497476
original_glszm_ZoneEntropy,0.015352405
original_glcm_InverseVariance,0.015046671
original_ngtdm_Contrast,0.014729348
original_firstorder_Skewness,0.013857531
original_firstorder_Minimum,0.013604903
original_glszm_SmallAreaEmphasis,0.013523436
original_ngtdm_Strength,0.013202142
original_shape_MajorAxisLength,0.013192353
original_glcm_Contrast,0.012876087
original_glszm_LargeAreaLowGrayLevelEmphasis,0.012079999
original_glszm_GrayLevelNonUniformityNormalized,0.011922819
original_shape_Elongation,0.011575104
original_firstorder_Mean,0.011009945
original_shape_Maximum2DDiameterColumn,0.010798949
original_gldm_SmallDependenceEmphasis,0.010425091
original_glrlm_RunLengthNonUniformityNormalized,0.010389574
original_glszm_GrayLevelNonUniformity,0.010045289
original_firstorder_Range,0.009201421
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.009157722
original_glrlm_RunPercentage,0.008923045
original_glrlm_LongRunEmphasis,0.008875875
original_glrlm_ShortRunLowGrayLevelEmphasis,0.008730264
original_glcm_ClusterShade,0.0078106066
original_glcm_Idm,0.007801555
original_glszm_LargeAreaEmphasis,0.0076967524
original_glcm_Idn,0.006972702
original_glcm_ClusterProminence,0.006850843
original_glrlm_ShortRunEmphasis,0.0065342006
original_glcm_Imc2,0.0060627363
original_glszm_ZonePercentage,0.0055338754
original_glcm_JointEnergy,0.0054780343
original_firstorder_Kurtosis,0.00504523
original_firstorder_InterquartileRange,0.00499648
original_glrlm_ShortRunHighGrayLevelEmphasis,0.0
original_firstorder_Median,0.0
original_glrlm_RunVariance,0.0
original_glcm_DifferenceEntropy,0.0
original_firstorder_Entropy,0.0
original_firstorder_MeanAbsoluteDeviation,0.0
original_firstorder_RobustMeanAbsoluteDeviation,0.0
original_firstorder_90Percentile,0.0
original_shape_VoxelVolume,0.0
original_glszm_SmallAreaHighGrayLevelEmphasis,0.0
original_shape_SurfaceVolumeRatio,0.0
original_shape_SurfaceArea,0.0
original_glszm_ZoneVariance,0.0
original_shape_MeshVolume,0.0
original_ngtdm_Coarseness,0.0
original_shape_Maximum2DDiameterRow,0.0
original_glrlm_RunLengthNonUniformity,0.0
original_glrlm_HighGrayLevelRunEmphasis,0.0
original_glrlm_LowGrayLevelRunEmphasis,0.0
original_firstorder_TotalEnergy,0.0
original_glcm_Id,0.0
original_glcm_Idmn,0.0
original_glcm_DifferenceAverage,0.0
original_glcm_Correlation,0.0
original_glcm_JointAverage,0.0
original_glcm_JointEntropy,0.0
original_glcm_ClusterTendency,0.0
original_glcm_SumEntropy,0.0
original_glcm_SumSquares,0.0
original_gldm_DependenceEntropy,0.0
original_gldm_DependenceNonUniformity,0.0
original_gldm_DependenceNonUniformityNormalized,0.0
original_glcm_Autocorrelation,0.0
original_gldm_GrayLevelVariance,0.0
original_gldm_HighGrayLevelEmphasis,0.0
original_firstorder_Variance,0.0
original_firstorder_Uniformity,0.0
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
original_gldm_LowGrayLevelEmphasis,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0
original_glrlm_GrayLevelNonUniformity,0.0
original_glrlm_GrayLevelNonUniformityNormalized,0.0
original_glrlm_GrayLevelVariance,0.0
original_glcm_DifferenceVariance,0.0
original_glrlm_LongRunHighGrayLevelEmphasis,0.0
original_glcm_SumAverage,0.0
