Dataset,Target,F1-score,F1_std,Accuracy,Accuracy_std,Balanced_Acc,Balanced_Acc_std,AUC,AUC_std
duke_lesions,ER,0.802,0.035,0.813,0.025,0.813,0.025,0.848,0.040
ambl_lesions_binary,ER,0.809,0.129,0.840,0.101,0.840,0.101,0.890,0.097
duke_lesions_radiomic_medsam,ER,0.805,0.042,0.805,0.041,0.805,0.041,0.849,0.036
ambl_lesions_radiomic_medsam_binary,ER,0.789,0.072,0.798,0.062,0.798,0.062,0.876,0.082
duke_lesions,HER2,0.295,0.067,0.447,0.078,0.447,0.078,0.389,0.044
ambl_lesions_binary,HER2,0.507,0.285,0.650,0.133,0.650,0.133,0.611,0.199
duke_lesions_radiomic_medsam,HER2,0.300,0.111,0.496,0.079,0.496,0.079,0.451,0.109
ambl_lesions_radiomic_medsam_binary,HER2,0.433,0.249,0.583,0.149,0.583,0.149,0.594,0.324
duke_lesions,PR,0.498,0.046,0.518,0.056,0.518,0.056,0.476,0.097
ambl_lesions_binary,PR,0.575,0.133,0.629,0.070,0.629,0.070,0.618,0.053
duke_lesions_radiomic_medsam,PR,0.809,0.032,0.798,0.036,0.798,0.036,0.831,0.058
ambl_lesions_radiomic_medsam_binary,PR,0.591,0.134,0.607,0.153,0.607,0.153,0.665,0.204
