experiment,dataset,target,mean_f1,std_f1,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_auc,std_auc
DUKE_ER,duke_lesions,ER,0.569,0.074,0.529,0.071,0.529,0.071,0.528,0.077
AMBL_ER,ambl_lesions_binary,ER [SII],0.627,0.123,0.583,0.137,0.583,0.137,0.6,0.146
DUKE_medsam_ER,duke_lesions_radiomic_medsam,ER,0.597,0.057,0.565,0.054,0.565,0.054,0.546,0.054
AMBL_medsam_ER,ambl_lesions_radiomic_medsam_binary,ER [SII],0.72,0.177,0.707,0.149,0.707,0.149,0.756,0.136
DUKE_HER2,duke_lesions,HER2,0.252,0.039,0.422,0.063,0.422,0.063,0.389,0.042
AMBL_HER2,ambl_lesions_binary,HER2 [SII],0.507,0.285,0.65,0.133,0.65,0.133,0.611,0.199
DUKE_medsam_HER2,duke_lesions_radiomic_medsam,HER2,0.284,0.087,0.494,0.044,0.494,0.044,0.451,0.094
AMBL_medsam_HER2,ambl_lesions_radiomic_medsam_binary,HER2 [SII],0.433,0.249,0.583,0.149,0.583,0.149,0.594,0.324
DUKE_PR,duke_lesions,PR,0.498,0.046,0.518,0.056,0.518,0.056,0.476,0.097
AMBL_PR,ambl_lesions_binary,PR [SII],0.575,0.133,0.629,0.07,0.629,0.07,0.618,0.053
DUKE_medsam_PR,duke_lesions_radiomic_medsam,PR,0.462,0.07,0.485,0.025,0.485,0.025,0.505,0.048
AMBL_medsam_PR,ambl_lesions_radiomic_medsam_binary,PR [SII],0.591,0.134,0.607,0.153,0.607,0.153,0.665,0.204
