feature,importance
original_shape_Elongation,0.06239123407863133
original_glcm_Correlation,0.038947287446623305
original_glcm_MCC,0.038862051525414575
original_glszm_ZoneEntropy,0.03409237152765868
original_glcm_Imc1,0.031257950674229394
original_gldm_DependenceEntropy,0.02872757803451791
original_firstorder_Range,0.02491126804221997
original_shape_Flatness,0.02442786381218216
original_shape_SurfaceVolumeRatio,0.021915664653183543
original_glcm_Idmn,0.018109151283544823
original_glcm_Imc2,0.017141926456052288
original_ngtdm_Complexity,0.01693833807553638
original_glcm_DifferenceAverage,0.01587884495493976
original_shape_Maximum2DDiameterColumn,0.01575321361408564
original_glrlm_RunLengthNonUniformity,0.015540803745548648
original_firstorder_Variance,0.01490379728271008
original_glszm_LargeAreaHighGrayLevelEmphasis,0.014896742152757374
original_firstorder_MeanAbsoluteDeviation,0.014683776518441317
original_glcm_SumEntropy,0.014276332008827122
original_glszm_GrayLevelNonUniformity,0.013070509711479874
