Dataset,Target,F1-score,F1_std,Accuracy,Accuracy_std,Balanced_Acc,Balanced_Acc_std,AUC,AUC_std
duke_lesions,ER,0.779,0.050,0.764,0.056,0.764,0.056,0.829,0.051
ambl_lesions_binary,ER,0.775,0.084,0.738,0.097,0.738,0.097,0.772,0.152
duke_lesions_radiomic_medsam,ER,0.768,0.026,0.752,0.037,0.752,0.037,0.836,0.032
ambl_lesions_radiomic_medsam_binary,ER,0.806,0.071,0.781,0.061,0.781,0.061,0.881,0.129
duke_lesions,HER2,0.478,0.094,0.524,0.063,0.524,0.063,0.468,0.084
ambl_lesions_binary,HER2,0.293,0.362,0.617,0.145,0.617,0.145,0.700,0.204
duke_lesions_radiomic_medsam,HER2,0.466,0.108,0.507,0.092,0.507,0.092,0.468,0.070
ambl_lesions_radiomic_medsam_binary,HER2,0.367,0.306,0.617,0.100,0.617,0.100,0.633,0.232
duke_lesions,PR,0.480,0.087,0.533,0.097,0.533,0.097,0.515,0.112
ambl_lesions_binary,PR,0.645,0.096,0.652,0.121,0.652,0.121,0.706,0.105
duke_lesions_radiomic_medsam,PR,0.787,0.065,0.787,0.056,0.787,0.056,0.807,0.044
ambl_lesions_radiomic_medsam_binary,PR,0.553,0.120,0.523,0.148,0.523,0.148,0.596,0.153
