feature,importance
original_glcm_Imc1,8.835428116705948
original_glcm_MCC,8.061837546291924
original_shape_Maximum3DDiameter,7.803054393063327
original_glrlm_ShortRunLowGrayLevelEmphasis,6.81087315539266
original_glcm_Autocorrelation,5.611603169825417
original_shape_VoxelVolume,5.450826589904438
original_shape_MeshVolume,4.438769182026005
original_glszm_GrayLevelNonUniformity,3.965828575245293
original_gldm_DependenceVariance,3.673259293486438
original_glrlm_GrayLevelNonUniformity,3.556436473409401
original_glrlm_GrayLevelVariance,3.456612574735261
original_glcm_JointAverage,3.2278648121372164
original_glszm_ZoneEntropy,3.203255492266984
original_ngtdm_Strength,3.1936403317094966
original_glcm_SumAverage,3.069523241133473
original_shape_LeastAxisLength,2.781709814937774
original_firstorder_Range,2.6665682330922422
original_shape_SurfaceArea,2.6663109782905994
original_shape_Flatness,2.632986593573673
original_glszm_SmallAreaLowGrayLevelEmphasis,2.450499529170717
