feature,importance
original_shape_SurfaceVolumeRatio,0.18707311949923447
original_firstorder_TotalEnergy,0.10870043167764916
original_glszm_LargeAreaEmphasis,0.05074854064554823
original_shape_MeshVolume,0.015590774049367073
original_glszm_ZoneVariance,0.008062473783478385
original_firstorder_Kurtosis,0.004295556974026203
original_shape_Elongation,0.0
original_glrlm_GrayLevelNonUniformityNormalized,0.0
original_glrlm_RunLengthNonUniformity,0.0
original_glrlm_RunEntropy,0.0
original_glrlm_LowGrayLevelRunEmphasis,0.0
original_glrlm_LongRunLowGrayLevelEmphasis,0.0
original_glrlm_LongRunHighGrayLevelEmphasis,0.0
original_glrlm_LongRunEmphasis,0.0
original_glrlm_HighGrayLevelRunEmphasis,0.0
original_glrlm_GrayLevelVariance,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0
original_glrlm_GrayLevelNonUniformity,0.0
original_glrlm_RunPercentage,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0
