feature,importance
original_shape_Elongation,0.1398771904559776
original_firstorder_TotalEnergy,0.0968346981075457
original_glszm_GrayLevelNonUniformityNormalized,0.047923952659067036
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.020647590590108466
original_glrlm_GrayLevelNonUniformity,0.0
original_glrlm_RunLengthNonUniformity,0.0
original_glrlm_RunEntropy,0.0
original_glrlm_LowGrayLevelRunEmphasis,0.0
original_glrlm_LongRunLowGrayLevelEmphasis,0.0
original_glrlm_LongRunHighGrayLevelEmphasis,0.0
original_glrlm_LongRunEmphasis,0.0
original_glrlm_HighGrayLevelRunEmphasis,0.0
original_glrlm_GrayLevelVariance,0.0
original_glrlm_GrayLevelNonUniformityNormalized,0.0
original_gldm_DependenceEntropy,0.0
original_gldm_DependenceNonUniformity,0.0
original_glrlm_RunLengthNonUniformityNormalized,0.0
original_gldm_SmallDependenceEmphasis,0.0
original_gldm_LowGrayLevelEmphasis,0.0
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
