Dataset,Target,F1-score,F1_std,Accuracy,Accuracy_std,Balanced_Acc,Balanced_Acc_std,AUC,AUC_std
duke_lesions,ER,0.834,0.038,0.850,0.028,0.850,0.028,0.859,0.044
ambl_lesions_binary,ER,0.807,0.076,0.812,0.065,0.812,0.065,0.887,0.099
duke_lesions_radiomic_medsam,ER,0.831,0.037,0.846,0.028,0.846,0.028,0.874,0.030
ambl_lesions_radiomic_medsam_binary,ER,0.803,0.150,0.795,0.136,0.795,0.136,0.863,0.116
duke_lesions,HER2,0.154,0.081,0.433,0.044,0.433,0.044,0.381,0.058
ambl_lesions_binary,HER2,0.700,0.163,0.750,0.129,0.750,0.129,0.700,0.163
duke_lesions_radiomic_medsam,HER2,0.261,0.151,0.501,0.087,0.501,0.087,0.430,0.075
ambl_lesions_radiomic_medsam_binary,HER2,0.547,0.105,0.650,0.082,0.650,0.082,0.656,0.206
duke_lesions,PR,0.506,0.027,0.549,0.020,0.549,0.020,0.525,0.044
ambl_lesions_binary,PR,0.653,0.096,0.637,0.098,0.637,0.098,0.669,0.117
duke_lesions_radiomic_medsam,PR,0.851,0.034,0.835,0.039,0.835,0.039,0.815,0.045
ambl_lesions_radiomic_medsam_binary,PR,0.605,0.207,0.638,0.108,0.637,0.108,0.682,0.111
