feature,importance_mean,importance_std
original_glszm_LargeAreaHighGrayLevelEmphasis,5.696753597259521,0.713793241890969
original_glszm_GrayLevelVariance,4.582699203491211,1.3107318062575768
original_shape_SurfaceVolumeRatio,4.362536478042602,1.1329380768039041
original_glrlm_ShortRunLowGrayLevelEmphasis,4.146171426773071,3.599190522397713
original_gldm_SmallDependenceLowGrayLevelEmphasis,4.026366519927978,2.344504461844414
original_glcm_ClusterTendency,3.813731002807617,2.7678001186903898
original_glcm_SumEntropy,3.7666160583496096,1.926398176773463
original_glrlm_RunPercentage,3.65164999961853,2.3990830289268326
original_glcm_ClusterProminence,3.6114447593688963,1.3539733999551662
original_glszm_GrayLevelNonUniformityNormalized,3.5903956413269045,2.8633754163595277
original_gldm_SmallDependenceHighGrayLevelEmphasis,3.365552616119385,0.4511124961996193
original_glszm_LargeAreaEmphasis,3.3120813369750977,2.181258545191933
original_firstorder_Maximum,3.2327356338500977,2.1185894689965856
original_glrlm_RunEntropy,3.1786892771720887,1.8059755306671408
original_firstorder_RootMeanSquared,3.1523757219314574,1.070938623588159
original_ngtdm_Busyness,3.1243052959442137,2.513377849971387
original_firstorder_Mean,3.0047722339630125,1.6209155158447548
original_glszm_HighGrayLevelZoneEmphasis,2.9438384532928468,2.4895515833439767
original_gldm_LowGrayLevelEmphasis,2.8745913982391356,1.8134553224140855
original_glcm_Imc2,2.84118115901947,0.748749967090677
