feature,importance_mean,importance_std
original_glszm_LargeAreaHighGrayLevelEmphasis,5.6968,0.7138
original_glszm_GrayLevelVariance,4.5827,1.3107
original_shape_SurfaceVolumeRatio,4.3625,1.1329
original_glrlm_ShortRunLowGrayLevelEmphasis,4.1462,3.5992
original_gldm_SmallDependenceLowGrayLevelEmphasis,4.0264,2.3445
original_glcm_ClusterTendency,3.8137,2.7678
original_glcm_SumEntropy,3.7666,1.9264
original_glrlm_RunPercentage,3.6516,2.3991
original_glcm_ClusterProminence,3.6114,1.3540
original_glszm_GrayLevelNonUniformityNormalized,3.5904,2.8634
original_gldm_SmallDependenceHighGrayLevelEmphasis,3.3656,0.4511
original_glszm_LargeAreaEmphasis,3.3121,2.1813
original_firstorder_Maximum,3.2327,2.1186
original_glrlm_RunEntropy,3.1787,1.8060
original_firstorder_RootMeanSquared,3.1524,1.0709
original_ngtdm_Busyness,3.1243,2.5134
original_firstorder_Mean,3.0048,1.6209
original_glszm_HighGrayLevelZoneEmphasis,2.9438,2.4896
original_gldm_LowGrayLevelEmphasis,2.8746,1.8135
original_glcm_Imc2,2.8412,0.7487
original_shape_MeshVolume,2.8370,0.3529
original_glcm_Correlation,2.8334,0.4680
original_glrlm_GrayLevelVariance,2.7570,3.0959
original_glcm_MCC,2.7137,1.4186
original_glszm_SmallAreaHighGrayLevelEmphasis,2.6969,2.5038
original_firstorder_Minimum,2.6246,0.4214
original_gldm_DependenceVariance,2.5635,0.5784
original_glrlm_RunLengthNonUniformityNormalized,2.5165,0.7543
original_glrlm_GrayLevelNonUniformity,2.4632,1.4836
original_glcm_Contrast,2.4576,2.3933
original_glcm_ClusterShade,2.4007,1.5173
original_glszm_ZonePercentage,2.3751,1.4553
original_firstorder_Entropy,2.3233,2.4796
original_gldm_DependenceEntropy,2.2868,1.4898
original_firstorder_90Percentile,2.1144,1.1139
original_gldm_SmallDependenceEmphasis,2.1103,0.4019
original_shape_Maximum2DDiameterRow,2.0489,1.0831
original_shape_Flatness,2.0000,0.2028
original_glcm_JointEntropy,1.9068,2.4611
original_firstorder_10Percentile,1.9016,1.6627
original_shape_Elongation,1.8676,1.0718
original_glcm_Autocorrelation,1.7817,1.6041
original_firstorder_Uniformity,1.7590,1.1223
original_ngtdm_Contrast,1.6885,1.6557
original_ngtdm_Complexity,1.6436,0.9246
original_gldm_DependenceNonUniformityNormalized,1.6395,1.1926
original_gldm_LargeDependenceEmphasis,1.6173,2.4390
original_glszm_LowGrayLevelZoneEmphasis,1.5374,0.8920
original_glcm_InverseVariance,1.5248,1.3793
original_glcm_DifferenceVariance,1.4452,1.8148
original_glcm_Idmn,1.3316,1.0940
original_gldm_GrayLevelVariance,1.2827,2.5654
original_firstorder_Skewness,1.2702,2.1832
original_glcm_Imc1,1.2313,1.0355
original_glrlm_LowGrayLevelRunEmphasis,1.2211,1.5010
original_firstorder_TotalEnergy,1.2003,1.4970
original_glszm_SmallAreaEmphasis,1.1789,0.9880
original_firstorder_Kurtosis,1.1645,1.0307
original_glcm_Idn,1.1634,1.4370
original_glrlm_HighGrayLevelRunEmphasis,1.1325,2.2650
original_ngtdm_Coarseness,1.1237,1.3971
original_firstorder_Variance,1.0784,1.3311
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.0490,0.8737
original_shape_MajorAxisLength,0.9718,1.9436
original_glcm_DifferenceEntropy,0.9666,0.9390
original_glrlm_LongRunLowGrayLevelEmphasis,0.8955,1.1720
original_gldm_HighGrayLevelEmphasis,0.8626,1.7252
original_shape_LeastAxisLength,0.8167,1.0016
original_glszm_ZoneVariance,0.7856,0.9773
original_glrlm_ShortRunHighGrayLevelEmphasis,0.7696,1.5392
original_firstorder_InterquartileRange,0.7675,0.9435
original_glszm_SmallAreaLowGrayLevelEmphasis,0.7391,0.9062
original_firstorder_RobustMeanAbsoluteDeviation,0.7264,0.9877
original_glszm_SizeZoneNonUniformityNormalized,0.6948,0.8686
original_glrlm_RunLengthNonUniformity,0.6674,1.3349
original_glcm_JointAverage,0.5469,1.0937
original_ngtdm_Strength,0.5361,0.6718
original_gldm_DependenceNonUniformity,0.5161,1.0323
original_shape_Sphericity,0.4175,0.8350
original_glcm_JointEnergy,0.4147,0.8295
original_firstorder_MeanAbsoluteDeviation,0.4090,0.8179
original_glszm_ZoneEntropy,0.3648,0.4480
original_glrlm_LongRunHighGrayLevelEmphasis,0.3521,0.7041
original_glszm_LargeAreaLowGrayLevelEmphasis,0.2931,0.5863
original_glrlm_LongRunEmphasis,0.2599,0.5198
original_glrlm_GrayLevelNonUniformityNormalized,0.2057,0.4113
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.1072,0.2144
original_shape_Maximum3DDiameter,0.0000,0.0000
original_firstorder_Median,0.0000,0.0000
original_shape_Maximum2DDiameterSlice,0.0000,0.0000
original_shape_Maximum2DDiameterColumn,0.0000,0.0000
original_shape_SurfaceArea,0.0000,0.0000
original_shape_VoxelVolume,0.0000,0.0000
original_shape_MinorAxisLength,0.0000,0.0000
original_glcm_DifferenceAverage,0.0000,0.0000
original_firstorder_Range,0.0000,0.0000
original_glszm_SizeZoneNonUniformity,0.0000,0.0000
original_glcm_Id,0.0000,0.0000
original_glcm_Idm,0.0000,0.0000
original_glcm_MaximumProbability,0.0000,0.0000
original_glcm_SumSquares,0.0000,0.0000
original_glszm_GrayLevelNonUniformity,0.0000,0.0000
original_glrlm_ShortRunEmphasis,0.0000,0.0000
original_glrlm_RunVariance,0.0000,0.0000
original_glcm_SumAverage,0.0000,0.0000
