feature,importance_mean,importance_std
original_glrlm_RunEntropy,7.3952,1.2836
original_glcm_MCC,6.1228,0.2501
original_glcm_Correlation,6.1077,1.1788
original_gldm_DependenceEntropy,5.9709,0.8465
original_glcm_ClusterTendency,5.9578,3.1873
original_glszm_SizeZoneNonUniformity,5.9460,1.4586
original_shape_Elongation,5.9427,0.7377
original_shape_Flatness,5.8053,0.6587
original_glcm_Imc2,5.7523,0.9781
original_shape_SurfaceVolumeRatio,5.5747,0.6480
original_glcm_Imc1,5.5512,0.5197
original_glcm_ClusterShade,5.3926,1.3767
original_firstorder_Minimum,5.3900,1.1023
original_glszm_ZoneEntropy,5.1542,1.4628
original_firstorder_TotalEnergy,5.0019,1.0136
original_glcm_Idmn,4.9373,0.4981
original_glszm_GrayLevelNonUniformityNormalized,4.8524,2.7404
original_ngtdm_Strength,4.8441,0.8513
original_firstorder_Skewness,4.6548,0.4462
original_glrlm_GrayLevelNonUniformity,4.5471,2.4092
original_glcm_DifferenceAverage,4.5019,4.1110
original_firstorder_Kurtosis,4.3198,1.3769
original_shape_Sphericity,4.2456,2.2830
original_glszm_GrayLevelVariance,4.1660,3.5708
original_glrlm_LongRunHighGrayLevelEmphasis,4.1235,3.6724
original_gldm_LargeDependenceHighGrayLevelEmphasis,4.0968,3.0309
original_shape_Maximum2DDiameterRow,4.0813,2.1758
original_glszm_SmallAreaEmphasis,3.8259,3.1745
original_glcm_DifferenceVariance,3.7934,3.3536
original_firstorder_Maximum,3.5425,2.9619
original_glszm_GrayLevelNonUniformity,3.4806,2.1481
original_glcm_JointEnergy,3.4541,2.8385
original_glszm_SizeZoneNonUniformityNormalized,3.3821,4.2019
original_gldm_DependenceVariance,3.3194,4.0974
original_glcm_Idn,3.3009,1.8929
original_shape_LeastAxisLength,3.2949,2.7031
original_shape_SurfaceArea,3.1975,2.6428
original_firstorder_Range,3.0146,2.5450
original_glcm_DifferenceEntropy,3.0142,3.9323
original_glrlm_RunLengthNonUniformity,2.8815,2.4269
original_shape_Maximum3DDiameter,2.8397,2.4290
original_firstorder_Entropy,2.8168,3.5245
original_shape_Maximum2DDiameterSlice,2.6654,2.2692
original_shape_MeshVolume,2.6322,3.3960
original_glcm_SumEntropy,2.5943,3.2605
original_ngtdm_Coarseness,2.5564,2.2279
original_gldm_SmallDependenceLowGrayLevelEmphasis,2.5050,2.1029
original_glszm_LargeAreaHighGrayLevelEmphasis,2.4704,3.0299
original_ngtdm_Busyness,2.4551,4.9103
original_firstorder_Median,2.4126,2.9814
original_firstorder_InterquartileRange,2.4076,4.0166
original_glszm_ZonePercentage,2.2012,2.7412
original_firstorder_10Percentile,2.1529,4.3059
original_glszm_ZoneVariance,2.1154,2.6550
original_glrlm_GrayLevelNonUniformityNormalized,2.0689,2.7687
original_glcm_MaximumProbability,1.9978,2.5088
original_glcm_ClusterProminence,1.8923,2.3315
original_gldm_LargeDependenceEmphasis,1.5737,3.1474
original_glszm_LargeAreaLowGrayLevelEmphasis,1.4812,1.8332
original_firstorder_RootMeanSquared,1.4712,1.8096
original_shape_Maximum2DDiameterColumn,1.4333,1.7580
original_gldm_SmallDependenceHighGrayLevelEmphasis,1.4262,2.8523
original_glszm_SmallAreaLowGrayLevelEmphasis,1.4250,2.8500
original_glszm_LargeAreaEmphasis,1.3085,2.6170
original_shape_MinorAxisLength,1.2645,2.5291
original_shape_MajorAxisLength,1.2550,2.5100
original_gldm_GrayLevelVariance,1.1828,2.3655
original_glrlm_LongRunEmphasis,1.1236,2.2472
original_firstorder_90Percentile,1.0929,2.1858
original_glcm_Contrast,1.0778,2.1556
original_glcm_Idm,1.0247,2.0494
original_firstorder_Mean,0.9950,1.9899
original_glcm_Id,0.9492,1.8984
original_glcm_InverseVariance,0.9422,1.8843
original_gldm_DependenceNonUniformity,0.9306,1.8612
original_glrlm_RunVariance,0.8376,1.6752
original_firstorder_Variance,0.7828,1.5656
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.7182,1.4364
original_firstorder_RobustMeanAbsoluteDeviation,0.6673,1.3346
original_ngtdm_Contrast,0.6431,1.2862
original_glszm_LowGrayLevelZoneEmphasis,0.6011,1.2022
original_firstorder_Uniformity,0.0000,0.0000
original_ngtdm_Complexity,0.0000,0.0000
original_glcm_Autocorrelation,0.0000,0.0000
original_firstorder_MeanAbsoluteDeviation,0.0000,0.0000
original_glszm_SmallAreaHighGrayLevelEmphasis,0.0000,0.0000
original_gldm_DependenceNonUniformityNormalized,0.0000,0.0000
original_glrlm_ShortRunEmphasis,0.0000,0.0000
original_glszm_HighGrayLevelZoneEmphasis,0.0000,0.0000
original_glrlm_GrayLevelVariance,0.0000,0.0000
original_gldm_HighGrayLevelEmphasis,0.0000,0.0000
original_glcm_SumSquares,0.0000,0.0000
original_gldm_LowGrayLevelEmphasis,0.0000,0.0000
original_gldm_SmallDependenceEmphasis,0.0000,0.0000
original_glcm_JointEntropy,0.0000,0.0000
original_glcm_JointAverage,0.0000,0.0000
original_glrlm_HighGrayLevelRunEmphasis,0.0000,0.0000
original_shape_VoxelVolume,0.0000,0.0000
original_glrlm_LongRunLowGrayLevelEmphasis,0.0000,0.0000
original_glrlm_LowGrayLevelRunEmphasis,0.0000,0.0000
original_glrlm_RunLengthNonUniformityNormalized,0.0000,0.0000
original_glrlm_RunPercentage,0.0000,0.0000
original_glrlm_ShortRunHighGrayLevelEmphasis,0.0000,0.0000
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0000,0.0000
original_glcm_SumAverage,0.0000,0.0000
