feature,importance
original_glszm_ZoneEntropy,0.04986022
original_glrlm_GrayLevelVariance,0.048615374
original_firstorder_Entropy,0.04153413
original_glrlm_LongRunLowGrayLevelEmphasis,0.035888333
original_firstorder_Maximum,0.028240046
original_glszm_ZoneVariance,0.026215699
original_glcm_Idn,0.02557849
original_gldm_SmallDependenceEmphasis,0.025249897
original_glrlm_ShortRunHighGrayLevelEmphasis,0.024487637
original_glszm_LargeAreaHighGrayLevelEmphasis,0.02348856
original_ngtdm_Complexity,0.021940092
original_glszm_GrayLevelVariance,0.021829195
original_firstorder_Skewness,0.021563428
original_firstorder_10Percentile,0.021272037
original_glcm_Imc2,0.021103365
original_glszm_LargeAreaEmphasis,0.020818828
original_glrlm_GrayLevelNonUniformity,0.02044706
original_glrlm_RunLengthNonUniformityNormalized,0.019438138
original_glszm_HighGrayLevelZoneEmphasis,0.019026479
original_firstorder_Mean,0.01789827
