feature,importance
original_glrlm_GrayLevelVariance,0.06436013
original_glszm_GrayLevelNonUniformityNormalized,0.042295165
original_glszm_HighGrayLevelZoneEmphasis,0.040013295
original_glszm_LargeAreaEmphasis,0.031222776
original_glszm_LargeAreaHighGrayLevelEmphasis,0.030678887
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.030603655
original_glcm_ClusterTendency,0.03042686
original_firstorder_Variance,0.02797264
original_glcm_SumEntropy,0.025834069
original_glszm_GrayLevelVariance,0.025794305
original_glrlm_RunPercentage,0.0254626
original_glcm_ClusterProminence,0.025322413
original_glrlm_LowGrayLevelRunEmphasis,0.02259414
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.021736387
original_glszm_ZoneEntropy,0.020642735
original_firstorder_10Percentile,0.020394586
original_glcm_MCC,0.01986298
original_glszm_ZonePercentage,0.019053835
original_glcm_Correlation,0.018241737
original_firstorder_TotalEnergy,0.017981773
