feature,importance
original_gldm_SmallDependenceEmphasis,0.036226105
original_ngtdm_Complexity,0.03579346
original_firstorder_TotalEnergy,0.034135412
original_ngtdm_Strength,0.032618098
original_firstorder_Skewness,0.029190611
original_shape_SurfaceVolumeRatio,0.029015794
original_gldm_DependenceEntropy,0.028324792
original_glszm_SizeZoneNonUniformity,0.027530685
original_glcm_DifferenceAverage,0.02722207
original_firstorder_Kurtosis,0.025559263
original_glcm_MCC,0.025514135
original_glszm_LargeAreaHighGrayLevelEmphasis,0.024487149
original_gldm_HighGrayLevelEmphasis,0.024272332
original_ngtdm_Coarseness,0.024035605
original_firstorder_RobustMeanAbsoluteDeviation,0.023275
original_glrlm_ShortRunHighGrayLevelEmphasis,0.02314788
original_shape_Maximum3DDiameter,0.022887541
original_shape_SurfaceArea,0.022854757
original_glszm_SmallAreaLowGrayLevelEmphasis,0.02282535
original_glcm_Id,0.022579467
