feature,importance
original_glszm_SizeZoneNonUniformityNormalized,0.04219146
original_glcm_Imc1,0.031888787
original_glcm_ClusterProminence,0.030002678
original_gldm_DependenceEntropy,0.029364673
original_glrlm_RunEntropy,0.027795881
original_glszm_GrayLevelNonUniformity,0.02744212
original_firstorder_InterquartileRange,0.02656342
original_glcm_MCC,0.026167369
original_firstorder_Range,0.0256075
original_shape_Elongation,0.025349747
original_glrlm_GrayLevelNonUniformityNormalized,0.025280844
original_shape_Maximum2DDiameterRow,0.025099779
original_glcm_SumEntropy,0.024947485
original_glszm_ZoneEntropy,0.024231356
original_shape_Maximum3DDiameter,0.023637231
original_glcm_Correlation,0.0235967
original_ngtdm_Strength,0.023418931
original_glcm_ClusterTendency,0.023142392
original_firstorder_Uniformity,0.022673974
original_shape_LeastAxisLength,0.022672439
