feature,importance
original_firstorder_90Percentile,0.025015146
original_glcm_DifferenceEntropy,0.020625854
original_gldm_DependenceNonUniformityNormalized,0.020416528
original_glcm_JointAverage,0.0171838
original_glrlm_ShortRunLowGrayLevelEmphasis,0.017162595
original_glrlm_LongRunHighGrayLevelEmphasis,0.017100502
original_glcm_SumEntropy,0.017082086
original_glcm_Idm,0.016729992
original_glrlm_GrayLevelVariance,0.016448593
original_shape_SurfaceVolumeRatio,0.015043843
original_glcm_DifferenceVariance,0.014463004
original_glrlm_RunPercentage,0.013774798
original_ngtdm_Complexity,0.013686081
original_glszm_GrayLevelNonUniformity,0.013685042
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.01366694
original_glcm_MCC,0.013548678
original_firstorder_Uniformity,0.01353577
original_shape_VoxelVolume,0.0134360185
original_glszm_HighGrayLevelZoneEmphasis,0.013292745
original_glszm_ZoneEntropy,0.013193252
