feature,importance
original_ngtdm_Contrast,0.03464619
original_glcm_SumEntropy,0.02602664
original_ngtdm_Coarseness,0.025599014
original_shape_Maximum2DDiameterSlice,0.021330336
original_glszm_LowGrayLevelZoneEmphasis,0.020334901
original_ngtdm_Busyness,0.019739015
original_gldm_DependenceNonUniformity,0.019630453
original_glcm_ClusterShade,0.018454313
original_shape_MinorAxisLength,0.018411214
original_glcm_MaximumProbability,0.018202476
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.018179394
original_ngtdm_Complexity,0.018022139
original_glcm_Imc2,0.018000307
original_glszm_HighGrayLevelZoneEmphasis,0.017989947
original_shape_SurfaceVolumeRatio,0.017962873
original_glszm_SizeZoneNonUniformityNormalized,0.017816756
original_glrlm_LongRunHighGrayLevelEmphasis,0.017592628
original_glszm_SizeZoneNonUniformity,0.017442549
original_glszm_ZoneVariance,0.017193917
original_glcm_MCC,0.016739383
