feature,importance
original_gldm_DependenceVariance,0.01971174
original_gldm_DependenceNonUniformity,0.019206103
original_firstorder_Entropy,0.018331606
original_firstorder_Median,0.01701996
original_firstorder_Variance,0.01675726
original_shape_Maximum2DDiameterSlice,0.01628306
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.016201628
original_glcm_DifferenceAverage,0.015977561
original_glrlm_LongRunLowGrayLevelEmphasis,0.015858063
original_glrlm_ShortRunEmphasis,0.015857462
original_glcm_JointAverage,0.015559696
original_gldm_SmallDependenceEmphasis,0.015436226
original_firstorder_Maximum,0.015280458
original_shape_Maximum2DDiameterRow,0.014755234
original_glszm_SmallAreaHighGrayLevelEmphasis,0.014271218
original_shape_MinorAxisLength,0.0141415745
original_glcm_MCC,0.014103034
original_glszm_SmallAreaEmphasis,0.013817319
original_firstorder_RobustMeanAbsoluteDeviation,0.013755965
original_glszm_LowGrayLevelZoneEmphasis,0.01367068
