Dataset,Target,F1-score,F1_std,Accuracy,Accuracy_std,Balanced_Acc,Balanced_Acc_std,AUC,AUC_std
duke_lesions,ER,0.827,0.034,0.842,0.025,0.842,0.025,0.862,0.030
ambl_lesions_binary,ER,0.817,0.123,0.824,0.101,0.824,0.101,0.896,0.112
duke_lesions_radiomic_medsam,ER,0.820,0.034,0.822,0.033,0.822,0.033,0.872,0.033
ambl_lesions_radiomic_medsam_binary,ER,0.790,0.128,0.781,0.110,0.781,0.110,0.913,0.084
duke_lesions,HER2,0.024,0.047,0.458,0.036,0.458,0.036,0.399,0.058
ambl_lesions_binary,HER2,0.233,0.291,0.583,0.105,0.583,0.105,0.661,0.094
duke_lesions_radiomic_medsam,HER2,0.100,0.063,0.476,0.029,0.476,0.029,0.449,0.131
ambl_lesions_radiomic_medsam_binary,HER2,0.000,0.000,0.467,0.067,0.467,0.067,0.461,0.296
duke_lesions,PR,0.464,0.078,0.503,0.069,0.503,0.069,0.474,0.075
ambl_lesions_binary,PR,0.505,0.182,0.573,0.134,0.573,0.134,0.583,0.150
duke_lesions_radiomic_medsam,PR,0.851,0.034,0.835,0.039,0.835,0.039,0.846,0.052
ambl_lesions_radiomic_medsam_binary,PR,0.504,0.181,0.541,0.184,0.541,0.184,0.609,0.159
