dataset,target,F1-score,Accuracy,Balanced Accuracy,AUC
duke_lesions_radiomic,ER_class,0.537 ± 0.087,0.539 ± 0.087,0.555 ± 0.076,0.547 ± 0.082
duke_lesions_radiomic,PR_class,0.556 ± 0.039,0.564 ± 0.044,0.571 ± 0.043,0.540 ± 0.037
duke_lesions_radiomic,HER2_class,0.453 ± 0.033,0.560 ± 0.052,0.464 ± 0.029,0.410 ± 0.032
duke_lesions,ER_class,0.506 ± 0.052,0.550 ± 0.069,0.520 ± 0.056,0.525 ± 0.070
duke_lesions,PR_class,0.480 ± 0.057,0.501 ± 0.068,0.493 ± 0.063,0.513 ± 0.067
duke_lesions,HER2_class,0.513 ± 0.046,0.563 ± 0.051,0.524 ± 0.040,0.521 ± 0.036
ambl_lesions_radiomic,ER_class,0.383 ± 0.016,0.617 ± 0.050,0.411 ± 0.045,0.637 ± 0.023
ambl_lesions_radiomic,PR_class,0.504 ± 0.026,0.697 ± 0.030,0.508 ± 0.060,0.816 ± 0.009
ambl_lesions_radiomic,HER2_class,0.516 ± 0.105,0.788 ± 0.121,0.537 ± 0.104,0.593 ± 0.063
ambl_lesions,ER_class,0.407 ± 0.007,0.650 ± 0.017,0.441 ± 0.015,0.652 ± 0.030
ambl_lesions,PR_class,0.575 ± 0.061,0.747 ± 0.020,0.554 ± 0.044,0.823 ± 0.002
ambl_lesions,HER2_class,0.575 ± 0.039,0.839 ± 0.039,0.593 ± 0.035,0.688 ± 0.001
