dataset,target,F1-score,Accuracy,Balanced Accuracy,AUC
duke_lesions_radiomic,ER_class,0.499 ± 0.008,0.526 ± 0.012,0.504 ± 0.004,0.499 ± 0.027
duke_lesions_radiomic,PR_class,0.542 ± 0.006,0.543 ± 0.005,0.548 ± 0.007,0.523 ± 0.022
duke_lesions_radiomic,HER2_class,0.462 ± 0.014,0.529 ± 0.036,0.464 ± 0.011,0.434 ± 0.005
duke_lesions,ER_class,0.529 ± 0.017,0.564 ± 0.009,0.540 ± 0.006,0.543 ± 0.007
duke_lesions,PR_class,0.521 ± 0.018,0.522 ± 0.019,0.531 ± 0.026,0.550 ± 0.016
duke_lesions,HER2_class,0.547 ± 0.018,0.615 ± 0.019,0.550 ± 0.018,0.555 ± 0.001
ambl_lesions_radiomic,ER_class,0.770 ± 0.117,0.793 ± 0.110,0.812 ± 0.121,0.977 ± 0.003
ambl_lesions_radiomic,PR_class,0.836 ± 0.105,0.841 ± 0.110,0.836 ± 0.087,0.957 ± 0.027
ambl_lesions_radiomic,HER2_class,0.453 ± 0.000,0.829 ± 0.000,0.500 ± 0.000,0.554 ± 0.054
ambl_lesions,ER_class,0.770 ± 0.117,0.793 ± 0.110,0.812 ± 0.121,0.976 ± 0.000
ambl_lesions,PR_class,0.861 ± 0.081,0.866 ± 0.085,0.861 ± 0.062,0.958 ± 0.026
ambl_lesions,HER2_class,0.453 ± 0.000,0.829 ± 0.000,0.500 ± 0.000,0.446 ± 0.054
